"COUNTRY","Country","ISC11A","ISCED 2011 A education level","SEX","Gender","AGE","Age","FIELD","Field","MEASURE","Measure","INDICATOR","INDICATOR","YEAR","Reference year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ISL","Iceland","L4","Post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.26778075,,
"SVN","Slovenia","L1_T_SC3T4","Primary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.03546921,,
"GRC","Greece","L3_T_SC2","Completion of intermediate upper secondary programmes","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.01228534,,
"HUN","Hungary","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.10040646,,
"NLD","Netherlands","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.02857735,,
"ARG","Argentina","L7","Master’s or equivalent education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.07172125,,
"CRI","Costa Rica","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.31718728,,
"ESP","Spain","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.05377062,,
"ISR","Israel","L3","Upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.12450665,,
"BRA","Brazil","L4","Post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"z","Not applicable"
"ARG","Argentina","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.24142864,,
"DNK","Denmark","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.14273541,,
"LVA","Latvia","L3_T_SC2","Completion of intermediate upper secondary programmes","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.11898525,,
"FRA","France","L3","Upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",39.416222,,
"NZL","New Zealand","L4","Post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.25723174,,
"AUS","Australia","L3_T_SC2","Completion of intermediate upper secondary programmes","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"z","Not applicable"
"DNK","Denmark","L2_T_SC3T4","Lower secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.13439099,,
"AUT","Austria","L4","Post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.050851,,
"GBR","United Kingdom","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.19269589,,
"LVA","Latvia","L4","Post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.20894852,,
"JPN","Japan","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",22.142391,"w","Includes data from another category"
"DEU","Germany","L2_T_SC3T4","Lower secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.04640454,,
"SAU","Saudi Arabia","L3","Upper secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2016","2016",26.260004,,
"FIN","Finland","L5T8","Tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",53.070175,,
"CZE","Czech Republic","L7","Master’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",17.619389,,
"LVA","Latvia","L3T4","Upper secondary or post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.34576595,,
"AUS","Australia","L3T4","Upper secondary or post-secondary non-tertiary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",30.615618,,
"NOR","Norway","L3","Upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.20217538,,
"DNK","Denmark","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.07969577,,
"AUS","Australia","L7","Master’s or equivalent education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.1521602,,
"SVN","Slovenia","L0","Less than primary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.02259275,,
"LUX","Luxembourg","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",16.630608,,
"PRT","Portugal","L3T4","Upper secondary or post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.15313943,,
"BEL","Belgium","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.02621531,,
"GRC","Greece","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.12745906,,
"FRA","France","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.06056919,,
"NOR","Norway","L2_T_SC3T4","Lower secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.15691233,,
"SVK","Slovak Republic","L3_T_SC2","Completion of intermediate upper secondary programmes","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.02816014,,
"SVK","Slovak Republic","L4","Post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.12702923,,
"USA","United States","L7","Master’s or equivalent education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.10385003,,
"CZE","Czech Republic","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",7.8969955,,
"EST","Estonia","L4","Post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.226578,,
"ARG","Argentina","L3_T_SC2","Completion of intermediate upper secondary programmes","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.10403965,,
"ISL","Iceland","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.43933299,,
"ISL","Iceland","L2_T_SC3T4","Lower secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.43446118,,
"HUN","Hungary","L0","Less than primary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.01658764,,
"ESP","Spain","L2_T_SC3T4","Lower secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.07791292,,
"ISR","Israel","L1_T_SC3T4","Primary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.05000401,,
"SVK","Slovak Republic","L1_T_SC3T4","Primary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.05812034,,
"AUT","Austria","L3","Upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.15992244,,
"SWE","Sweden","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.15440908,,
"LTU","Lithuania","L3_T_SC2","Completion of intermediate upper secondary programmes","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.07081442,,
"SWE","Sweden","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.09808419,,
"FRA","France","L4","Post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.00682656,,
"AUT","Austria","L2_T_SC3T4","Lower secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.10994761,,
"PRT","Portugal","L1_T_SC3T4","Primary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.15878718,,
"BRA","Brazil","L2_T_SC3T4","Lower secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.07101727,,
"FRA","France","L2_T_SC3T4","Lower secondary education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",13.708486,,
"BEL","Belgium","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.17342208,,
"MEX","Mexico","L3","Upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.09401049,,
"LUX","Luxembourg","L4","Post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.07342836,,
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.25684747,,
"NLD","Netherlands","L3T4","Upper secondary or post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.09627724,,
"LTU","Lithuania","L1_T_SC3T4","Primary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.03336708,,
"AUS","Australia","L1_T_SC3T4","Primary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.11743771,,
"IRL","Ireland","L7","Master’s or equivalent education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.12207173,,
"NLD","Netherlands","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.0797959,,
"SWE","Sweden","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","SE","SE","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",0.13001597,,
"LUX","Luxembourg","L7","Master’s or equivalent education","F","Women","Y25T64","25-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",20.841845,,
